img_id,ground_truth,prediction,abs_error,MAE,RMSE,R2
img_232_0,73.0,66.33308410644531,6.6669158935546875,,,
img_233_0,63.0,55.66405487060547,7.335945129394531,,,
img_234_0,59.0,60.33731460571289,1.3373146057128906,,,
img_235_0,53.0,55.04029083251953,2.0402908325195312,,,
img_236_0,73.0,69.27465057373047,3.7253494262695312,,,
img_237_0,54.0,68.58071899414062,14.580718994140625,,,
img_238_0,68.0,66.32617950439453,1.6738204956054688,,,
img_239_0,52.0,57.13582992553711,5.135829925537109,,,
img_240_0,68.0,62.736568450927734,5.263431549072266,,,
img_241_0,75.0,65.71713256835938,9.282867431640625,,,
img_242_0,57.0,61.07511520385742,4.075115203857422,,,
img_243_0,69.0,69.06172180175781,0.0617218017578125,,,
img_244_0,60.0,59.22428512573242,0.7757148742675781,,,
img_245_0,75.0,68.74848175048828,6.251518249511719,,,
img_246_0,63.0,66.06489562988281,3.0648956298828125,,,
img_247_0,64.0,57.834712982177734,6.165287017822266,,,
img_248_0,57.0,56.93324279785156,0.0667572021484375,,,
img_249_0,64.0,58.89239501953125,5.10760498046875,,,
img_250_0,63.0,66.54899597167969,3.5489959716796875,,,
img_251_0,63.0,64.17588806152344,1.1758880615234375,,,
img_252_0,76.0,71.40036010742188,4.599639892578125,,,
img_253_0,71.0,65.58903503417969,5.4109649658203125,,,
img_254_0,75.0,70.99807739257812,4.001922607421875,,,
img_255_0,66.0,70.65513610839844,4.6551361083984375,,,
img_256_0,72.0,72.95734405517578,0.9573440551757812,,,
img_257_0,65.0,60.47709655761719,4.5229034423828125,,,
img_258_0,66.0,64.85169982910156,1.1483001708984375,,,
img_259_0,73.0,73.98674011230469,0.9867401123046875,,,
img_260_0,66.0,63.59011459350586,2.4098854064941406,,,
img_261_0,59.0,70.01676940917969,11.016769409179688,,,
img_262_0,67.0,67.0905990600586,0.09059906005859375,,,
img_263_0,64.0,61.367942810058594,2.6320571899414062,,,
img_264_0,76.0,72.03823852539062,3.961761474609375,,,
img_265_0,65.0,61.80588150024414,3.1941184997558594,,,
img_266_0,58.0,59.75672912597656,1.7567291259765625,,,
img_267_0,71.0,71.24837493896484,0.24837493896484375,,,
img_268_0,69.0,59.81742477416992,9.182575225830078,,,
img_269_0,71.0,70.69602966308594,0.3039703369140625,,,
img_270_0,60.0,64.40721130371094,4.4072113037109375,,,
img_271_0,71.0,71.58161163330078,0.5816116333007812,,,
img_272_0,72.0,66.08499908447266,5.915000915527344,,,
img_273_0,55.0,57.53044128417969,2.5304412841796875,,,
img_274_0,68.0,72.1268310546875,4.1268310546875,,,
img_275_0,70.0,66.96271514892578,3.0372848510742188,,,
img_276_0,76.0,66.21014404296875,9.78985595703125,,,
img_277_0,73.0,64.02025604248047,8.979743957519531,,,
img_278_0,69.0,63.597721099853516,5.402278900146484,,,
img_279_0,52.0,51.56673812866211,0.4332618713378906,,,
img_280_0,49.0,59.36599349975586,10.36599349975586,,,
img_281_0,78.0,61.50735092163086,16.49264907836914,,,
img_282_0,75.0,67.94619750976562,7.053802490234375,,,
